WARNING 2020-02-27 11:00:50,777 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,782 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:50,788 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,789 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,788 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:50,795 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,794 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:50,798 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,847 base 152 Not Found: /epgn_front_end/js/axios-0.18.0.min.js
WARNING 2020-02-27 11:00:50,848 basehttp 124 "GET /epgn_front_end/js/axios-0.18.0.min.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,855 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:50,856 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:50,858 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:50,861 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:50,862 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,863 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,863 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,864 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,882 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:50,882 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:50,889 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:50,889 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
INFO 2020-02-27 11:00:51,074 basehttp 124 "GET /home/ HTTP/1.1" 200 23448
WARNING 2020-02-27 11:00:51,122 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:51,123 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,132 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:51,137 base 152 Not Found: /epgn_front_end/js/vue_2.6.10.js
WARNING 2020-02-27 11:00:51,145 base 152 Not Found: /epgn_front_end/js/jquery-3.4.1.js
WARNING 2020-02-27 11:00:51,150 base 152 Not Found: /epgn_front_end/js/axios-0.18.0.min.js
WARNING 2020-02-27 11:00:51,150 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,155 basehttp 124 "GET /epgn_front_end/js/jquery-3.4.1.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,154 basehttp 124 "GET /epgn_front_end/js/vue_2.6.10.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,154 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:51,156 basehttp 124 "GET /epgn_front_end/js/axios-0.18.0.min.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,158 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:51,161 base 152 Not Found: /epgn_front_end/layui/layui.js
